16 0(758,362,1);1(235,300,1);2(284,311,1);3(283,291,1);4(233,338,1);5(236,281,1);6(252,272,1);7(251,310,1);8(267,302,1);9(269,282,1);10(236,262,1);11(251,291,1);12(267,320,1);13(250,329,1);14(300,301,1);15(234,319,1); 17931
16 0(557,188,1);1(253,319,1);2(221,338,1);3(220,282,1);4(220,300,1);5(237,309,1);6(268,289,1);7(236,271,1);8(253,300,1);9(285,299,1);10(220,319,1);11(268,309,1);12(220,263,1);13(237,328,1);14(252,280,1);15(236,291,1); 271251
16 0(787,396,1);1(213,320,1);2(261,311,1);3(228,292,1);4(245,283,1);5(278,301,1);6(229,330,1);7(213,264,1);8(244,301,1);9(212,282,1);10(213,301,1);11(229,273,1);12(213,339,1);13(260,292,1);14(245,320,1);15(229,310,1); 282069
16 0(567,447,1);1(211,282,1);2(227,272,1);3(275,301,1);4(227,310,1);5(259,293,1);6(210,338,1);7(242,320,1);8(244,302,1);9(227,329,1);10(212,263,1);11(259,312,1);12(211,301,1);13(228,292,1);14(243,282,1);15(210,319,1); 292889
16 0(809,355,1);1(225,274,1);2(208,339,1);3(208,284,1);4(242,324,1);5(257,292,1);6(226,313,1);7(274,301,1);8(242,303,1);9(208,302,1);10(208,321,1);11(208,264,1);12(258,312,1);13(242,283,1);14(226,331,1);15(225,293,1); 305513
16 0(808,354,1);1(225,274,1);2(208,339,1);3(208,284,1);4(243,322,1);5(257,292,1);6(226,313,1);7(274,301,1);8(243,302,1);9(208,302,1);10(208,321,1);11(208,264,1);12(259,312,1);13(242,283,1);14(226,331,1);15(225,293,1); 310923
16 0(798,363,1);1(255,315,1);2(256,278,1);3(222,295,1);4(221,332,1);5(288,298,1);6(240,267,1);7(238,305,1);8(255,296,1);9(238,287,1);10(238,323,1);11(223,278,1);12(272,307,1);13(271,288,1);14(224,258,1);15(221,313,1); 355993
16 0(743,289,1);1(256,270,1);2(255,307,1);3(238,335,1);4(238,298,1);5(240,261,1);6(287,289,1);7(287,310,1);8(272,299,1);9(256,289,1);10(238,316,1);11(271,318,1);12(238,279,1);13(255,326,1);14(272,280,1);15(304,300,1); 424507
16 0(576,435,1);1(118,281,1);2(83,226,1);3(86,265,1);4(101,273,1);5(133,250,1);6(104,294,1);7(116,243,1);8(135,268,1);9(84,246,1);10(154,258,1);11(100,236,1);12(116,262,1);13(87,283,1);14(100,254,1);15(88,304,1); 437127
16 0(428,168,1);1(91,369,1);2(149,354,1);3(95,351,1);4(132,340,1);5(102,313,1);6(108,364,1);7(77,357,1);8(113,346,1);9(117,325,1);10(81,338,1);11(91,301,1);12(126,361,1);13(85,321,1);14(100,333,1);15(74,379,1); 469584
